"","cell_id","milestone_id","log_tauGFP_intensity","experiment","time_point"
"1","1_iN1_C01","d2_induced",0,"iN1","2"
"2","1_iN1_C02","d2_induced",0,"iN1","2"
"3","1_iN1_C03","d2_induced",0,"iN1","2"
"4","1_iN1_C04","d2_intermediate",0,"iN1","2"
"5","1_iN1_C05","d2_intermediate",0,"iN1","2"
"6","1_iN1_C07","d2_induced",0,"iN1","2"
"7","1_iN1_C08","d2_intermediate",0,"iN1","2"
"8","1_iN1_C09","d2_induced",0,"iN1","2"
"9","1_iN1_C10","d2_induced",0,"iN1","2"
"10","1_iN1_C11","d2_intermediate",0,"iN1","2"
"11","1_iN1_C12","d2_induced",0,"iN1","2"
"12","1_iN1_C13","d2_induced",0,"iN1","2"
"13","1_iN1_C14","d2_induced",0,"iN1","2"
"14","1_iN1_C15","d2_induced",0,"iN1","2"
"15","1_iN1_C16","d2_intermediate",0,"iN1","2"
"16","1_iN1_C17","d2_induced",0,"iN1","2"
"17","1_iN1_C19","d2_intermediate",0,"iN1","2"
"18","1_iN1_C20","d2_induced",0,"iN1","2"
"19","1_iN1_C21","d2_intermediate",0,"iN1","2"
"20","1_iN1_C22","d2_induced",0,"iN1","2"
"21","1_iN1_C23","d2_induced",0,"iN1","2"
"22","1_iN1_C25","MEF",0,"iN1","2"
"23","1_iN1_C26","d2_induced",0,"iN1","2"
"24","1_iN1_C27","MEF",0,"iN1","2"
"25","1_iN1_C29","MEF",0,"iN1","2"
"26","1_iN1_C30","d2_intermediate",0,"iN1","2"
"27","1_iN1_C31","d2_induced",0,"iN1","2"
"28","1_iN1_C33","d2_induced",0,"iN1","2"
"29","1_iN1_C34","d2_induced",0,"iN1","2"
"30","1_iN1_C35","d2_intermediate",0,"iN1","2"
"31","1_iN1_C36","d2_induced",0,"iN1","2"
"32","1_iN1_C37","d2_induced",0,"iN1","2"
"33","1_iN1_C38","d2_induced",0,"iN1","2"
"34","1_iN1_C40","d2_induced",0,"iN1","2"
