"","cell_id","milestone_id"
"1","RamDA_mESC_00h_A04","00h"
"2","RamDA_mESC_00h_A05","00h"
"3","RamDA_mESC_00h_A06","00h"
"4","RamDA_mESC_00h_A07","00h"
"5","RamDA_mESC_00h_A08","00h"
"6","RamDA_mESC_00h_A09","00h"
"7","RamDA_mESC_00h_B01","00h"
"8","RamDA_mESC_00h_B02","00h"
"9","RamDA_mESC_00h_B03","00h"
"10","RamDA_mESC_00h_B04","00h"
"11","RamDA_mESC_00h_B05","00h"
"12","RamDA_mESC_00h_B06","00h"
"13","RamDA_mESC_00h_B07","00h"
"14","RamDA_mESC_00h_B08","00h"
"15","RamDA_mESC_00h_B09","00h"
"16","RamDA_mESC_00h_B10","00h"
"17","RamDA_mESC_00h_B11","00h"
"18","RamDA_mESC_00h_B12","00h"
"19","RamDA_mESC_00h_C01","00h"
"20","RamDA_mESC_00h_C02","00h"
"21","RamDA_mESC_00h_C03","00h"
"22","RamDA_mESC_00h_C04","00h"
"23","RamDA_mESC_00h_C05","00h"
"24","RamDA_mESC_00h_C06","00h"
"25","RamDA_mESC_00h_C07","00h"
"26","RamDA_mESC_00h_C08","00h"
"27","RamDA_mESC_00h_C09","00h"
"28","RamDA_mESC_00h_C10","00h"
"29","RamDA_mESC_00h_C11","00h"
"30","RamDA_mESC_00h_D01","00h"
"31","RamDA_mESC_00h_D02","00h"
"32","RamDA_mESC_00h_D03","00h"
"33","RamDA_mESC_00h_D04","00h"
"34","RamDA_mESC_00h_D05","00h"
"35","RamDA_mESC_00h_D06","00h"
"36","RamDA_mESC_00h_D07","00h"
"37","RamDA_mESC_00h_D08","00h"
"38","RamDA_mESC_00h_D09","00h"
"39","RamDA_mESC_00h_D10","00h"
"40","RamDA_mESC_00h_D11","00h"
"41","RamDA_mESC_00h_D12","00h"
"42","RamDA_mESC_00h_E01","00h"
"43","RamDA_mESC_00h_E02","00h"
"44","RamDA_mESC_00h_E03","00h"
"45","RamDA_mESC_00h_E04","00h"
"46","RamDA_mESC_00h_E05","00h"
"47","RamDA_mESC_00h_E06","00h"
"48","RamDA_mESC_00h_E07","00h"
"49","RamDA_mESC_00h_E08","00h"
"50","RamDA_mESC_00h_E09","00h"
"51","RamDA_mESC_00h_E10","00h"
"52","RamDA_mESC_00h_E11","00h"
"53","RamDA_mESC_00h_E12","00h"
"54","RamDA_mESC_00h_F01","00h"
"55","RamDA_mESC_00h_F02","00h"
"56","RamDA_mESC_00h_F03","00h"
"57","RamDA_mESC_00h_F04","00h"
"58","RamDA_mESC_00h_F05","00h"
"59","RamDA_mESC_00h_F06","00h"
"60","RamDA_mESC_00h_F07","00h"
"61","RamDA_mESC_00h_F08","00h"
"62","RamDA_mESC_00h_F09","00h"
"63","RamDA_mESC_00h_F10","00h"
"64","RamDA_mESC_00h_F11","00h"
"65","RamDA_mESC_00h_F12","00h"
"66","RamDA_mESC_00h_G01","00h"
"67","RamDA_mESC_00h_G02","00h"
"68","RamDA_mESC_00h_G03","00h"
"69","RamDA_mESC_00h_G04","00h"
"70","RamDA_mESC_00h_G05","00h"
"71","RamDA_mESC_00h_G06","00h"
"72","RamDA_mESC_00h_G07","00h"
"73","RamDA_mESC_00h_G08","00h"
"74","RamDA_mESC_00h_G09","00h"
"75","RamDA_mESC_00h_G10","00h"
"76","RamDA_mESC_00h_G11","00h"
"77","RamDA_mESC_00h_G12","00h"
"78","RamDA_mESC_00h_H01","00h"
"79","RamDA_mESC_00h_H02","00h"
"80","RamDA_mESC_00h_H03","00h"
"81","RamDA_mESC_00h_H04","00h"
"82","RamDA_mESC_00h_H05","00h"
"83","RamDA_mESC_00h_H06","00h"
"84","RamDA_mESC_00h_H07","00h"
"85","RamDA_mESC_00h_H08","00h"
"86","RamDA_mESC_00h_H09","00h"
"87","RamDA_mESC_00h_H10","00h"
"88","RamDA_mESC_00h_H11","00h"
"89","RamDA_mESC_00h_H12","00h"
"90","RamDA_mESC_12h_A04","12h"
"91","RamDA_mESC_12h_A05","12h"
"92","RamDA_mESC_12h_A06","12h"
"93","RamDA_mESC_12h_A08","12h"
"94","RamDA_mESC_12h_A09","12h"
"95","RamDA_mESC_12h_B02","12h"
"96","RamDA_mESC_12h_B05","12h"
"97","RamDA_mESC_12h_B06","12h"
"98","RamDA_mESC_12h_B07","12h"
"99","RamDA_mESC_12h_B08","12h"
"100","RamDA_mESC_12h_B09","12h"
"101","RamDA_mESC_12h_B10","12h"
"102","RamDA_mESC_12h_B11","12h"
"103","RamDA_mESC_12h_B12","12h"
"104","RamDA_mESC_12h_C02","12h"
"105","RamDA_mESC_12h_C03","12h"
"106","RamDA_mESC_12h_C04","12h"
"107","RamDA_mESC_12h_C05","12h"
"108","RamDA_mESC_12h_C07","12h"
"109","RamDA_mESC_12h_C09","12h"
"110","RamDA_mESC_12h_C10","12h"
"111","RamDA_mESC_12h_C11","12h"
"112","RamDA_mESC_12h_C12","12h"
"113","RamDA_mESC_12h_D02","12h"
"114","RamDA_mESC_12h_D04","12h"
"115","RamDA_mESC_12h_D05","12h"
"116","RamDA_mESC_12h_D07","12h"
"117","RamDA_mESC_12h_D08","12h"
