,pc,pt,B,log pc,log pt,sqrt inv pc,sqrt inv pt,nc,nr,Br,l1,l2,ldist,fcontrac,fexpand,lsp,dmax_psD,dmax_sD,nn_dist_sD,nn_dist_nsD,nn_diff_n,nn_dist_psD,nn_dist_npsD,PC1_err,PC2_err,PC3_err,PC4_err,PC5_err,PC6_err,PC7_err,PC8_err,PC9_err,PC10_err,reach,density,pdensity,proj_err,trajectory type
0,0.032,1.0,-1,-3.4420193761824103,0.0,5.5901699437494745,1.0,11,171920.0909090909,1891121,0.105,0.022,1.5083602616608025,0.509090909090909,0.4909090909090909,0,667.1359786027515,371.74900773912105,34.846893570820605,0.093737690875761,0.12819164368089433,104.01048001503408,0.1559059672255624,0.5427988399125344,1.3865529737646702,1.324235241968713,1.4878245466644715,1.4338886990518527,1.476723466905647,1.483536556422719,1.4411052219645202,1.4046283705651084,1.4375435898597146,1.1694315395538415,108.23594908931918,117.53291204056778,0.06718695550783516,fibroblasts
1,0.041,1.0,-1,-3.1941832122778293,0.0,4.938647983247948,1.0,14,120353.42857142857,1684948,0.168,0.05,1.4968010788740724,0.3626373626373626,0.6373626373626373,0,288.399041988769,293.3802433843983,46.38521995753555,0.15810614723895983,0.26353195728440004,74.81853993785386,0.25942714449366117,1.8957472652281542,1.6794900327567308,1.215772856643238,1.4940459384967257,1.5900940013008364,1.398766444398919,1.2599936077180613,1.5087790940191568,1.3921476315874017,1.3803981007963004,1.3286292720455175,99.97795407295527,103.38789555219873,0.06923727203104958,fibroblasts
2,0.052,1.0,-1,-2.9565115604007097,0.0,4.385290096535146,1.0,18,156503.38888888888,2817061,0.161,0.046,1.56139270630255,0.6274509803921569,0.37254901960784315,0,511.31691275420224,364.0061855809945,41.77066006301969,0.11475261058091377,0.07050851868648482,64.00293965564838,0.12517274132572168,1.8942601269973118,0.6316736540319351,1.7933914981899128,1.7433622350208742,1.4978907500153766,1.333044711407963,1.4406952135118938,1.4092886519756391,1.3784075588473523,1.4187909733399215,1.4543847320439571,88.92015876789533,107.75597627896376,0.060656411434112975,fibroblasts
3,0.066,1.0,-1,-2.7181005369557116,0.0,3.8924947208076146,1.0,23,138212.86956521738,3178896,0.133,0.03,1.4650939582641687,0.3359683794466403,0.6640316205533597,0,305.32387395920034,373.8384515688089,41.18201952327499,0.11015993499452797,0.11698828777245064,46.06514051112826,0.15087303823900725,0.4679864338498745,1.6989430729042168,0.9101543809804501,1.3319966039313729,1.5200800718918621,1.4762896039313342,1.3817902202027883,1.4811132975379147,1.2388238729510215,1.3971223390300922,1.2311224248897998,138.8501853359159,104.52652578003742,0.0630837660321185,fibroblasts
4,0.083,1.0,-1,-2.488914671185539,0.0,3.4710506725031163,1.0,29,122896.5172413793,3563999,0.174,0.055,1.7692111033925408,0.6059113300492611,0.39408866995073893,0,614.0499990969267,326.37734524219775,30.837426220440076,0.09448396670288581,0.04195294594190753,36.87950371880315,0.060059447558083574,0.3678686526443348,0.5109304659178739,0.7223409684676141,1.0145210177710275,1.4886590665395332,1.3103518988085443,1.3974929825264015,1.551947260474934,1.4793529257813491,1.399513564312935,1.5088115347505944,82.45768798512921,74.44405177919153,0.05968867428577334,fibroblasts
5,0.106,1.0,-1,-2.24431618487007,0.0,3.071475584169756,1.0,37,139197.05405405405,5150291,0.166,0.043,1.5941128131750644,0.7102102102102102,0.2882882882882883,0,489.69193753466226,359.2148914295202,26.000625810649826,0.07238181498316666,0.03499331659196446,35.29072907000576,0.0720672046341538,0.40099342282199346,0.47698037501777923,1.8173859376291805,0.9019259756658717,1.6424383800340983,1.4596786944231381,1.5554462780783702,1.3578066407335645,1.4591075398063786,1.3789444438388858,1.5664719443381967,68.01283968710558,89.82658884219691,0.06263049090967521,fibroblasts
6,0.134,1.0,-1,-2.0099154790312257,0.0,2.731791823540765,1.0,47,131781.70212765958,6193740,0.114,0.023,1.4006269905370716,0.6530989824236818,0.34690101757631825,0,366.701896016761,331.2408126993446,21.965239601725234,0.06631199646784558,0.04238587476250943,28.780868618547018,0.0784857371373709,0.391835383987886,0.5406436379083709,0.6541536037780605,1.808520318088633,1.4050536429023652,1.2908285061297804,1.396325295017551,1.2523157182520857,1.5025109270821912,1.3951423011849184,1.138486557000269,96.66645800933445,87.25629088455389,0.06073890728762823,fibroblasts
7,0.169,1.0,-1,-1.7778565640590636,0.0,2.4325212770525995,1.0,59,133495.2711864407,7876221,0.091,0.014,1.354980506112844,0.5686732904734073,0.43132670952659263,0,451.61667044506834,370.20844464414967,22.589979508650945,0.06101962241937725,0.018739768124916664,24.821135152644754,0.05496062651580933,0.28748891533553367,0.3906530176994865,0.5600727552231194,1.8747045142276682,1.742942517664137,1.5082370561308012,1.2355918788465388,1.6310777099771236,1.2910755161135061,1.3017021716200128,1.3730045221173577,62.00532291245787,75.83573553129204,0.052357837934102605,fibroblasts
8,0.214,1.0,-1,-1.5417792639602856,0.0,2.161688505835585,1.0,75,137362.50666666665,10302188,0.118,0.023,1.442150013936017,0.5657657657657658,0.4327927927927928,0,535.9531561522197,371.76466111466755,19.53493423434352,0.05254650664151788,0.019370554841058363,22.015285385772707,0.041076883554203754,0.2812715723694716,0.7909307805124894,0.8063814383950972,1.8642109671962983,1.061955304997864,1.0998144476075815,1.3626633580948866,1.3074511277052092,1.049395453890564,1.2681844159114841,1.5816625589702722,54.95020125242521,74.83453083409434,0.05277614627346639,fibroblasts
9,0.271,1.0,-1,-1.305636458102436,0.0,1.9209468759882464,1.0,96,125513.57291666667,12049303,0.083,0.013,1.2665144763669887,0.5116228070175438,0.48640350877192984,0,316.0265917812819,339.46645075206527,16.728844626307946,0.04927981716380605,0.019708827958762155,18.742926450209904,0.059308067541296174,0.23057462716300087,0.31285145296077127,0.5417771272873914,1.8150071043835136,0.6694656232807955,0.8929248634759933,1.0558046245241386,0.9682965842258999,0.9548206473611981,1.166821800560548,1.961914085205831,38.905321764323375,73.73505351358969,0.06257881823597006,fibroblasts
