,pc,pt,B,log pc,log pt,sqrt inv pc,sqrt inv pt,nc,nr,Br,l1,l2,ldist,fcontrac,fexpand,lsp,dmax_psD,dmax_sD,nn_dist_sD,nn_dist_nsD,nn_diff_n,nn_dist_psD,nn_dist_npsD,PC1_err,PC2_err,PC3_err,PC4_err,PC5_err,PC6_err,PC7_err,PC8_err,PC9_err,PC10_err,reach,density,pdensity,proj_err,trajectory type
0,1.0,1e-05,-1,0.0,-11.512925464970229,1.0,316.2277660168379,355,1.3859154929577464,492,0.306,0.13,467.8533607505938,0.8406143073128034,0.15921063101774488,0,5.200662320267857,406.711660802673,11.83881647924696,0.02910862318499119,0.13072209358658918,0.039575002971311286,0.007609608264139902,1.3914514748369455,1.4985199054065008,1.4703249846508115,1.3876749463794122,1.3991339403629592,1.4017825218131583,1.4148806210646423,1.4259173886105636,1.412226689297556,1.4150448983118278,4.336808689942018e-19,29.610735508957806,1.2360444394889678,0.08545528029878507,fibroblasts
1,1.0,1.778279410038923e-05,-1,0.0,-10.937279191721718,1.0,237.13737056616552,355,2.428169014084507,862,0.284,0.114,112.79077344507127,0.7755868544600939,0.22422216917323148,0,4.704518201243736,406.711660802673,11.83881647924696,0.02910862318499119,0.16594449579163462,0.08025682325545729,0.017059520193638482,1.365499365030151,1.499868499677258,1.4529028986820376,1.4342936379024822,1.4338941565853986,1.4614081999422832,1.3926345539347602,1.4463731802131157,1.4211873670349708,1.4422090109882675,4.336808689942018e-19,29.610735508957806,1.504717407915424,0.08180311336977983,fibroblasts
2,1.0,3.1622776601683795e-05,-1,0.0,-10.361632918473205,1.0,177.82794100389228,355,4.197183098591549,1490,0.236,0.084,20.414773544624648,0.703111323307074,0.29672952972069705,0,7.051419452653839,406.711660802673,11.83881647924696,0.02910862318499119,0.21275066149961222,0.14708691284769362,0.020859192086826815,1.518059989664348,1.4404311572610022,1.371583129745483,1.4121682217665954,1.4142507981575696,1.4418168850654607,1.4038282394573314,1.4304239433554393,1.4112014257828929,1.4153374983008697,3.469446951953614e-18,29.610735508957806,1.8105564953300377,0.08271095956952657,fibroblasts
3,1.0,5.623413251903491e-05,-1,0.0,-9.785986645224694,1.0,133.35214321633242,355,7.912676056338028,2809,0.213,0.069,3.9326253052485325,0.5610089918039309,0.43865679955438847,0,9.204295470653891,406.711660802673,11.83881647924696,0.02910862318499119,0.30135086840041,0.26627213735874555,0.02892911665077491,1.5447638914896682,1.4648904377180454,1.4280266496685732,1.4397936239250433,1.413483669174532,1.4014905345231263,1.394128482076359,1.4144004028860382,1.4154609230936592,1.4052496729419381,2.0816681711721685e-17,29.610735508957806,1.638267407540341,0.08504024570024107,fibroblasts
4,1.0,0.0001,-1,0.0,-9.210340371976182,1.0,100.0,355,13.346478873239437,4738,0.19,0.056,2.816653338948426,0.5697620752765179,0.42985597199013287,0,12.027479001350342,406.711660802673,11.83881647924696,0.02910862318499119,0.2745838863789611,0.4123982092357884,0.03428800076803193,1.57240093353858,1.474802550033709,1.4308782163057363,1.4214827697823975,1.4137938100670786,1.4109366543985196,1.4092913306193058,1.4064962111204535,1.4095369631480215,1.3841792585238508,0.01272849358781745,29.610735508957806,2.183907155677815,0.08134432978939406,fibroblasts
5,1.0,0.00017782794100389227,-1,0.0,-8.634694098727671,1.0,74.98942093324558,355,23.84225352112676,8464,0.172,0.046,2.0789883201857395,0.5917561868385454,0.40786186042810535,0,14.592623765999027,406.711660802673,11.83881647924696,0.02910862318499119,0.23455122463625266,0.6233057297703168,0.042713753178686475,1.5746469425849128,1.5041726078567959,1.4530536900206152,1.454845007934133,1.3610207750157606,1.3988785008542644,1.423678112221432,1.3529760393784587,1.4653101742707706,1.3798394667487892,0.04227694536321759,29.610735508957806,2.148358504877338,0.0763993722656305,fibroblasts
6,1.0,0.00031622776601683794,-1,0.0,-8.05904782547916,1.0,56.23413251903491,355,41.67887323943662,14796,0.167,0.043,1.9562685089181888,0.6588684650274529,0.3407495822391979,0,26.72949787435853,406.711660802673,11.83881647924696,0.02910862318499119,0.1916785146592527,0.9147645858870574,0.034223036668585775,1.608176272130035,1.5399084862180248,1.470418663489378,1.3735918698865262,1.3738262085632122,1.3729633795319247,1.4337470795718208,1.4050372277124108,1.3994754219616703,1.4604001342429151,0.03163959267757887,29.610735508957806,3.2271707857939145,0.08187391458534939,fibroblasts
7,1.0,0.0005623413251903491,-1,0.0,-7.4834015522306485,1.0,42.169650342858226,355,75.31267605633803,26736,0.142,0.032,1.7283463868657014,0.6539508235855813,0.34569905307551524,0,25.942286834188657,406.711660802673,11.83881647924696,0.02910862318499119,0.1490537377289009,1.1916057372036537,0.04593294896551941,1.63819802164715,1.5600367166841764,1.523290350862354,1.4758066073129004,1.3437778196530383,1.407511682472117,1.4451832260468458,1.3367654598454688,1.3700866753320893,1.4549619046043032,0.16291378851373098,29.610735508957806,3.3230711005413474,0.07381273058519741,fibroblasts
8,1.0,0.001,-1,0.0,-6.907755278982137,1.0,31.622776601683793,355,133.10422535211268,47252,0.131,0.027,1.6499899860904879,0.709509031590674,0.28990212461207926,0,36.59119932740644,406.711660802673,11.83881647924696,0.029108623184991186,0.09790084539884449,1.4031116452317773,0.03834560416227901,1.6787368940522596,1.5895979500768227,1.5653174674266401,1.5363322513099151,1.3358440634568256,1.414502762729514,1.488097571233171,1.386521141001538,1.389544060309166,1.3938379906259637,0.21334678795779471,29.610735508957806,4.1227994683539935,0.06688649681145803,fibroblasts
9,1.0,0.0017782794100389228,-1,0.0,-6.332109005733626,1.0,23.713737056616555,355,238.29014084507043,84593,0.109,0.019,1.5204063340039924,0.7521922495424525,0.24709158908251772,0,51.13547807016098,406.711660802673,11.83881647924696,0.02910862318499119,0.07077059410200932,1.7011596281987398,0.03326769773941774,1.7298534751269372,1.607673912529186,1.5890073949769878,1.569408588875482,1.3153067385284496,1.346916909538123,1.4587489230349837,1.5135124845469397,1.4542740717581224,1.345721916680195,0.29931729946393626,29.610735508957806,6.199464171239003,0.07390722656789193,fibroblasts
