,pc,pt,B,log pc,log pt,sqrt inv pc,sqrt inv pt,nc,nr,Br,l1,l2,ldist,fcontrac,fexpand,lsp,dmax_psD,dmax_sD,nn_dist_sD,nn_dist_nsD,nn_diff_n,nn_dist_psD,nn_dist_npsD,PC1_err,PC2_err,PC3_err,PC4_err,PC5_err,PC6_err,PC7_err,PC8_err,PC9_err,PC10_err,reach,density,pdensity,proj_err,trajectory type
0,0.026,1.0,-1,-3.649658740960655,0.0,6.201736729460423,1.0,10,244428.8,2444288,0.124,0.024,1.4490966028886232,0.24444444444444444,0.7333333333333333,0,566.1012908323567,344.7846252429161,51.58347559395329,0.1496107187424916,0.16445589286332432,175.4585470152784,0.30994196596389345,0.6454303829626303,0.9340266248922151,1.332573756017727,1.363017610769843,1.494117565496152,1.4784202682214762,1.4223582618822161,1.4255123861608359,1.394127845304175,1.4070505028335605,1.151263820104993,81.95489988005481,186.52565591410468,0.013348728675536943,hayashi
1,0.032,1.0,-1,-3.4420193761824103,0.0,5.5901699437494745,1.0,13,259424.46153846153,3372518,0.242,0.1,2.1394710664185452,0.20512820512820512,0.7948717948717948,0,352.63899253670013,333.01463518880496,33.81534562849619,0.10154312169891376,0.39910259149434224,131.595065376782,0.3731721907159388,0.6481638388605213,1.0802279041642564,1.3380634947968741,1.5717314898144648,1.4164994558714417,1.4378067775977668,1.4256264017630018,1.4166649103494466,1.4595016613431104,1.3935912791851963,1.0945730430878924,58.847661811994655,178.39997853896625,0.010461547879673799,hayashi
2,0.041,1.0,-1,-3.1941832122778293,0.0,4.938647983247948,1.0,16,244658.0625,3914529,0.114,0.025,1.4755012117557735,0.4083333333333333,0.5916666666666667,0,614.3585480041577,367.0877545965653,41.35583857720759,0.11265927032259154,0.1686414498245306,104.58566498309648,0.1702355494570065,1.9333267587405656,1.0040883500433568,1.387988937257883,1.5553561318397622,1.43631546467433,1.3427332901565083,1.4466772533715817,1.4726464030785826,1.443767902200415,1.4239466859469936,1.5489078381066763,96.81982024448894,155.41506728396925,0.013569771989704446,hayashi
3,0.052,1.0,-1,-2.9565115604007097,0.0,4.385290096535146,1.0,21,236314.85714285713,4962612,0.119,0.026,1.3956575580006907,0.3380952380952381,0.6619047619047619,0,576.2679231787167,348.86802086660856,42.369566634381506,0.12144869721544845,0.10962638807454017,87.74468109597713,0.15226369118720678,1.9229731922091213,1.1538556500918555,1.4532057871291706,1.3938720517016174,1.5523403367072515,1.2710084864067468,1.3940094224043984,1.3936472310345729,1.4151154234396448,1.461029657978431,1.8418597214991332,65.1905337679428,134.06763681707767,0.011706991166183277,hayashi
4,0.066,1.0,-1,-2.7181005369557116,0.0,3.8924947208076146,1.0,27,250729.59259259258,6769699,0.101,0.017,1.4075877292017631,0.46153846153846156,0.5384615384615384,0,787.5694757501054,350.85444668307485,35.888448073890764,0.10228870807588375,0.08048716973744384,70.17247879933895,0.08910004889727922,0.4884470905267635,1.8134351681340954,1.706405060529094,1.2992790050410714,1.485490949242384,1.4496455640505712,1.5304116666725642,1.2598368774280024,1.3995682797888518,1.293222977977537,1.0876085509599218,69.57467945207175,142.72142316833268,0.008738087902558766,hayashi
5,0.083,1.0,-1,-2.488914671185539,0.0,3.4710506725031163,1.0,34,242168.38235294117,8233725,0.087,0.014,1.29498518623466,0.5721925133689839,0.42780748663101603,0,545.294936573783,355.81216704724073,35.42939066596542,0.09957329722584081,0.06497740644053028,58.53337177337356,0.10734259177455885,0.3659953537813034,0.7639750753113907,1.416953016014255,1.434908246713727,1.5110751299663225,1.1547865194575915,1.270264243885052,1.4610845480853034,1.3438758212958737,1.490116717058587,1.9687948353614502,68.78571103515891,143.22530761400765,0.011271497602881816,hayashi
6,0.106,1.0,-1,-2.24431618487007,0.0,3.071475584169756,1.0,43,245631.53488372092,10562156,0.072,0.009,1.25402865919487,0.4894795127353267,0.5083056478405316,0,643.8942147767222,379.4719682567654,33.74231203845407,0.08891911619575207,0.03819243332631073,53.35579589887311,0.08286422625706437,0.35746733098788325,0.6243107226259711,1.3799200909009481,1.3464771106537916,1.1492163268230708,1.41314081582336,1.288998727869665,1.4748639753533803,1.3048344145666622,1.3048151998453723,2.319693212487901,66.83559746777435,134.61447226681366,0.009378330962908497,hayashi
7,0.134,1.0,-1,-2.0099154790312257,0.0,2.731791823540765,1.0,55,248778.87272727274,13682838,0.099,0.016,1.3738322043091604,0.52996632996633,0.47003367003367,0,813.3826319763402,374.71954463707675,31.293044576367716,0.08351057483984627,0.03065574715319213,43.79297050748516,0.05384055275569126,0.3049095856917903,0.6368783563385977,0.8707138334440174,1.4776024465615103,1.3998450052818523,1.553278837661587,1.1221500755796299,1.5986658906816535,1.4008837542303114,1.305830943689883,2.1633201390547367,69.43902838092254,117.01727955305547,0.009646970275037097,hayashi
8,0.169,1.0,-1,-1.7778565640590636,0.0,2.4325212770525995,1.0,69,247041.33333333334,17045852,0.058,0.005,1.2045021695736295,0.6095481670929241,0.3874680306905371,0,546.5709963920402,397.81253258095956,29.162509995525454,0.07330716759052967,0.0216941999174399,40.32900478925417,0.07378548268288881,0.27177701513612873,1.9195913289874729,1.128538299841683,0.990518327900257,1.7254240575667037,1.733323429244269,1.5939758060447227,1.2060975843127482,1.546404766807807,1.3231743110684222,2.0869503829312195,60.045486411890764,97.65336819237864,0.008664522462901258,hayashi
9,0.214,1.0,-1,-1.5417792639602856,0.0,2.161688505835585,1.0,88,242821.2840909091,21368273,0.084,0.011,1.3571562757574904,0.741901776384535,0.25731452455590387,0,955.8317600616961,376.46049456760846,26.05261916615034,0.06920412511297798,0.03025401587957491,33.92448880147026,0.0354921129627253,1.9892289729683792,0.4977359228685625,0.6551930474299376,0.7814741908066302,0.8452131408635358,1.6627710959249091,1.6534051453009804,1.3530389327277865,1.239970572175397,1.2009850991486444,2.289037307259159,48.18036790214221,87.34036962558223,0.008389774854379802,hayashi
